date,category,region,units_sold,stock_available,avg_price,promotion_flag
2022-01-21,Dairy,North,19,288,5.93,1
2022-01-21,Dairy,South,50,475,4.433333333333334,1
2022-01-21,Dairy,West,16,222,3.77,0
2022-01-22,Dairy,North,47,687,5.652,0
2022-01-22,Dairy,South,47,567,4.113333333333333,0
2022-01-22,Dairy,West,73,802,5.467499999999999,1
2022-01-23,Dairy,North,71,872,4.971666666666667,1
2022-01-23,Dairy,South,73,729,5.47,1
2022-01-23,Dairy,West,53,810,5.712000000000001,0
2022-01-24,Dairy,North,56,757,5.432,0
2022-01-24,Dairy,South,57,731,6.075,1
2022-01-24,Dairy,West,37,613,5.2525,0
2022-01-25,Dairy,North,48,712,5.505,0
2022-01-25,Dairy,South,74,858,3.616000000000001,1
2022-01-25,Dairy,West,49,634,5.78,0
2022-01-26,Dairy,North,57,666,4.736,1
2022-01-26,Dairy,South,82,941,4.761666666666667,1
2022-01-26,Dairy,West,54,721,3.79,0
2022-01-27,Dairy,North,81,914,3.605,1
2022-01-27,Dairy,South,65,803,4.5216666666666665,0
2022-01-27,Dairy,West,43,527,5.489999999999999,0
2022-01-28,Dairy,North,73,702,3.765000000000001,1
2022-01-28,Dairy,South,94,1000,6.703333333333333,1
2022-01-28,Dairy,West,88,1129,6.816666666666666,0
2022-01-29,Dairy,North,41,618,5.19,0
2022-01-29,Dairy,South,71,841,4.903333333333333,1
2022-01-29,Dairy,West,73,1057,5.051666666666667,1
2022-01-30,Dairy,North,53,682,4.415,0
2022-01-30,Dairy,South,44,550,5.195,1
2022-01-30,Dairy,West,84,739,5.712,1
2022-01-31,Dairy,North,78,917,5.583333333333333,1
2022-01-31,Dairy,South,136,1129,5.141666666666667,1
2022-01-31,Dairy,West,108,1008,5.68,1
2022-02-01,Dairy,North,60,900,3.1933333333333334,1
2022-02-01,Dairy,South,36,533,4.46,0
2022-02-01,Dairy,West,78,802,6.13,1
2022-02-02,Dairy,North,40,471,4.433333333333334,1
2022-02-02,Dairy,South,64,889,5.174,0
2022-02-02,Dairy,West,63,825,4.63,1
2022-02-03,Dairy,North,50,658,5.9575,0
2022-02-03,Dairy,South,76,883,6.037999999999999,0
2022-02-03,Dairy,West,62,875,6.318,0
2022-02-04,Dairy,North,63,801,5.1825,0
2022-02-04,Dairy,South,97,1001,5.558333333333334,1
2022-02-04,Dairy,West,72,963,4.793333333333334,0
2022-02-05,Dairy,North,66,758,4.195,1
2022-02-05,Dairy,South,64,760,5.308,1
2022-02-05,Dairy,West,59,807,4.964,0
2022-02-06,Dairy,North,59,687,3.414,1
2022-02-06,Dairy,South,64,749,6.5825000000000005,0
2022-02-06,Dairy,West,101,743,6.0120000000000005,1
2022-02-07,Dairy,North,73,767,4.996666666666667,1
2022-02-07,Dairy,South,65,843,6.374,0
2022-02-07,Dairy,West,56,772,5.022,0
2022-02-08,Dairy,North,69,1018,5.596666666666667,0
2022-02-08,Dairy,South,57,598,6.5175,1
2022-02-08,Dairy,West,106,911,5.454999999999999,1
2022-02-09,Dairy,North,83,913,5.523333333333333,1
2022-02-09,Dairy,South,48,570,5.69,1
2022-02-09,Dairy,West,98,1007,6.591666666666668,1
2022-02-10,Dairy,North,92,999,4.943333333333333,1
2022-02-10,Dairy,South,37,523,4.3500000000000005,0
2022-02-10,Dairy,West,72,915,3.536,1
2022-02-11,Dairy,North,60,829,4.058,0
2022-02-11,Dairy,South,75,1069,5.65,0
2022-02-11,Dairy,West,61,868,5.5,0
2022-02-12,Dairy,North,64,826,4.502,1
2022-02-12,Dairy,South,44,343,3.895,1
2022-02-12,Dairy,West,82,796,5.622,1
2022-02-13,Dairy,North,80,825,5.525,1
2022-02-13,Dairy,South,37,414,6.1675,0
2022-02-13,Dairy,West,76,898,6.484999999999999,0
2022-02-14,Dairy,North,57,641,4.388,1
2022-02-14,Dairy,South,69,765,4.614,1
2022-02-14,Dairy,West,48,730,5.992,0
2022-02-15,Dairy,North,50,668,6.238,1
2022-02-15,Dairy,South,55,910,6.243333333333333,0
2022-02-15,Dairy,West,46,585,3.955,0
2022-02-16,Dairy,North,52,606,2.99,1
2022-02-16,Dairy,South,97,954,5.0183333333333335,1
2022-02-16,Dairy,West,32,485,6.69,0
2022-02-17,Dairy,North,64,568,6.89,1
2022-02-17,Dairy,South,64,770,6.044,1
2022-02-17,Dairy,West,98,992,6.633333333333333,1
2022-02-18,Dairy,North,99,830,4.862,1
2022-02-18,Dairy,South,71,999,4.345,0
2022-02-18,Dairy,West,47,456,5.666,1
2022-02-19,Dairy,North,70,714,4.26,1
2022-02-19,Dairy,South,66,794,5.601999999999999,0
2022-02-19,Dairy,West,76,994,5.081666666666666,1
2022-02-20,Dairy,North,70,888,6.266666666666667,0
2022-02-20,Dairy,South,71,939,6.5920000000000005,1
2022-02-20,Dairy,West,65,695,6.5225,1
2022-02-21,Dairy,North,122,938,3.81,1
2022-02-21,Dairy,South,70,683,5.16,1
2022-02-21,Dairy,West,54,770,5.366,0
2022-02-22,Dairy,North,75,1032,4.226666666666667,1
2022-02-22,Dairy,South,56,634,4.155,1
2022-02-22,Dairy,West,44,609,5.178,0
2022-02-23,Dairy,North,56,716,4.57,1
2022-02-23,Dairy,South,26,498,3.99,0
2022-02-23,Dairy,West,60,829,7.065,1
2022-02-24,Dairy,North,97,885,4.6125,1
2022-02-24,Dairy,South,53,772,5.85,0
2022-02-24,Dairy,West,54,646,7.237500000000001,0
2022-02-25,Dairy,North,79,946,3.844,1
2022-02-25,Dairy,South,70,986,4.514,0
2022-02-25,Dairy,West,65,662,4.052,1
2022-02-26,Dairy,North,52,598,5.118,1
2022-02-26,Dairy,South,67,971,4.554,1
2022-02-26,Dairy,West,76,831,4.693333333333333,1
2022-02-27,Dairy,North,38,531,4.7375,0
2022-02-27,Dairy,South,41,388,4.4925,1
2022-02-27,Dairy,West,58,723,6.183999999999999,1
2022-02-28,Dairy,North,112,1217,5.5175,1
2022-02-28,Dairy,South,142,1167,3.9928571428571433,1
2022-02-28,Dairy,West,104,891,5.463333333333334,1
2022-03-01,Dairy,North,178,1676,4.19,1
2022-03-01,Dairy,South,194,1612,5.845555555555555,1
2022-03-01,Dairy,West,141,1453,6.538888888888889,0
2022-03-02,Dairy,North,153,1391,4.367777777777778,1
2022-03-02,Dairy,South,108,1295,6.445,0
2022-03-02,Dairy,West,143,1227,5.66125,1
2022-03-03,Dairy,North,140,1223,4.858333333333333,1
2022-03-03,Dairy,South,92,1001,4.503333333333333,0
2022-03-03,Dairy,West,91,1031,3.9957142857142856,0
2022-03-04,Dairy,North,82,782,5.76,0
2022-03-04,Dairy,South,112,1314,5.542222222222223,1
2022-03-04,Dairy,West,118,1147,4.050000000000001,1
2022-03-05,Dairy,North,130,1423,5.406666666666666,1
2022-03-05,Dairy,South,140,1274,6.377777777777777,1
2022-03-05,Dairy,West,156,1162,3.9683333333333337,1
2022-03-06,Dairy,North,99,1069,4.895,0
2022-03-06,Dairy,South,103,1102,5.514285714285714,0
2022-03-06,Dairy,West,115,814,4.1450000000000005,1
2022-03-07,Dairy,North,100,990,4.445,1
2022-03-07,Dairy,South,78,691,5.3566666666666665,1
2022-03-07,Dairy,West,132,1241,4.398571428571429,1
2022-03-08,Dairy,North,134,1375,5.097777777777778,1
2022-03-08,Dairy,South,75,678,6.188000000000001,0
2022-03-08,Dairy,West,81,915,4.454285714285715,0
2022-03-09,Dairy,North,112,1323,5.165555555555556,1
2022-03-09,Dairy,South,102,1043,5.45,1
2022-03-09,Dairy,West,131,1340,5.73375,1
2022-03-10,Dairy,North,85,985,5.791428571428571,0
2022-03-10,Dairy,South,145,1344,4.605555555555556,1
2022-03-10,Dairy,West,105,893,4.46,1
2022-03-11,Dairy,North,104,944,6.353333333333334,1
2022-03-11,Dairy,South,124,1276,5.8375,0
2022-03-11,Dairy,West,111,1110,5.50875,1
2022-03-12,Dairy,North,122,1428,4.7075,0
2022-03-12,Dairy,South,128,1476,4.167777777777777,0
2022-03-12,Dairy,West,135,1349,6.152222222222222,1
2022-03-13,Dairy,North,270,1916,5.085454545454545,1
2022-03-13,Dairy,South,193,1721,5.73,1
2022-03-13,Dairy,West,163,1630,6.047,1
2022-03-14,Dairy,North,174,1613,5.809090909090909,1
2022-03-14,Dairy,South,201,1458,5.252727272727273,1
2022-03-14,Dairy,West,200,1728,6.825454545454545,1
2022-03-15,Dairy,North,128,1392,5.437142857142858,1
2022-03-15,Dairy,South,208,1813,5.333333333333333,1
2022-03-15,Dairy,West,161,1525,4.692727272727273,0
2022-03-16,Dairy,North,196,1909,5.635454545454545,1
2022-03-16,Dairy,South,191,1761,5.651818181818182,1
2022-03-16,Dairy,West,105,1202,4.967777777777778,0
2022-03-17,Dairy,North,174,1479,6.1240000000000006,1
2022-03-17,Dairy,South,213,2015,5.2375,1
2022-03-17,Dairy,West,212,2074,5.655833333333334,1
2022-03-18,Dairy,North,176,1849,5.607272727272728,1
2022-03-18,Dairy,South,161,1402,4.721111111111111,1
2022-03-18,Dairy,West,156,1275,5.953333333333333,1
2022-03-19,Dairy,North,340,1961,6.244545454545454,1
2022-03-19,Dairy,South,222,1413,4.464,1
2022-03-19,Dairy,West,187,1196,5.76125,1
2022-03-20,Dairy,North,191,1557,5.296,1
2022-03-20,Dairy,South,210,1913,5.659000000000001,0
2022-03-20,Dairy,West,203,1631,5.485,1
2022-03-21,Dairy,North,232,1728,4.1530000000000005,1
2022-03-21,Dairy,South,181,1305,5.29625,1
2022-03-21,Dairy,West,211,1712,6.494,1
2022-03-22,Dairy,North,153,1173,5.225,1
2022-03-22,Dairy,South,157,1211,4.80875,1
2022-03-22,Dairy,West,277,1870,5.53,1
2022-03-23,Dairy,North,191,1561,3.98,0
2022-03-23,Dairy,South,272,2018,5.640833333333333,1
2022-03-23,Dairy,West,190,1309,5.555000000000001,1
2022-03-24,Dairy,North,179,1486,6.260000000000001,1
2022-03-24,Dairy,South,271,1816,5.528181818181818,1
2022-03-24,Dairy,West,166,1249,4.6925,1
2022-03-25,Dairy,North,273,2270,5.504545454545454,1
2022-03-25,Dairy,South,213,1316,4.653333333333333,1
2022-03-25,Dairy,West,151,1023,4.8012500000000005,1
2022-03-26,Dairy,North,149,1149,5.04,1
2022-03-26,Dairy,South,263,1642,4.792727272727273,1
2022-03-26,Dairy,West,195,1612,5.807,1
2022-03-27,Dairy,North,205,1669,4.535454545454545,1
2022-03-27,Dairy,South,129,1334,6.728888888888889,1
2022-03-27,Dairy,West,227,1569,5.8566666666666665,1
2022-03-28,Dairy,North,196,1448,4.348888888888889,1
2022-03-28,Dairy,South,260,2064,5.1466666666666665,1
2022-03-28,Dairy,West,190,1518,5.180000000000001,0
2022-03-29,Dairy,North,263,2069,4.613333333333333,0
2022-03-29,Dairy,South,334,2341,4.510769230769231,1
2022-03-29,Dairy,West,338,2038,6.076428571428571,1
2022-03-30,Dairy,North,201,1745,4.593076923076923,0
2022-03-30,Dairy,South,341,2554,4.808666666666666,1
2022-03-30,Dairy,West,216,1751,5.091818181818182,1
2022-03-31,Dairy,North,250,1814,5.3525,1
2022-03-31,Dairy,South,242,1570,5.971,1
2022-03-31,Dairy,West,303,2209,6.582307692307692,1
2022-04-01,Dairy,North,269,1983,5.45,1
2022-04-01,Dairy,South,277,2184,5.836923076923076,1
2022-04-01,Dairy,West,199,1802,5.148461538461538,0
2022-04-02,Dairy,North,241,1820,5.494615384615385,1
2022-04-02,Dairy,South,246,1805,4.975384615384614,1
2022-04-02,Dairy,West,285,1725,5.220909090909091,1
2022-04-03,Dairy,North,220,1846,4.865833333333334,0
2022-04-03,Dairy,South,260,2019,5.032857142857142,1
2022-04-03,Dairy,West,283,1925,6.101538461538461,1
2022-04-04,Dairy,North,329,2300,4.510769230769231,1
2022-04-04,Dairy,South,314,2191,6.216428571428572,1
2022-04-04,Dairy,West,219,1698,5.467692307692308,1
2022-04-05,Dairy,North,166,1184,5.51125,1
2022-04-05,Dairy,South,256,1967,4.142727272727273,0
2022-04-05,Dairy,West,207,1743,4.957272727272727,1
2022-04-06,Dairy,North,188,1491,4.666,0
2022-04-06,Dairy,South,346,1980,5.97,1
2022-04-06,Dairy,West,262,2222,5.205333333333333,0
2022-04-07,Dairy,North,275,1932,5.23,1
2022-04-07,Dairy,South,290,2044,4.620769230769231,1
2022-04-07,Dairy,West,232,1575,4.2170000000000005,1
2022-04-08,Dairy,North,294,1849,5.810833333333334,1
2022-04-08,Dairy,South,242,1625,5.644545454545455,1
2022-04-08,Dairy,West,329,2076,4.53,1
2022-04-09,Dairy,North,259,1705,5.134615384615385,1
