date,forecasted_demand,lower_bound,upper_bound,category,region
2026-07-15 11:41:41.097287,915,800,1017,Dairy,North
2026-07-16 11:41:41.097287,911,803,1017,Dairy,North
2026-07-17 11:41:41.097287,919,808,1036,Dairy,North
2026-07-18 11:41:41.097287,917,812,1021,Dairy,North
2026-07-19 11:41:41.097287,917,814,1031,Dairy,North
2026-07-20 11:41:41.097287,905,795,1012,Dairy,North
2026-07-21 11:41:41.097287,893,783,1000,Dairy,North
2026-07-22 11:41:41.097287,896,786,1002,Dairy,North
2026-07-23 11:41:41.097287,889,791,1001,Dairy,North
2026-07-24 11:41:41.097287,893,783,994,Dairy,North
2026-07-25 11:41:41.097287,886,768,996,Dairy,North
2026-07-26 11:41:41.097287,882,773,989,Dairy,North
2026-07-27 11:41:41.097287,867,753,980,Dairy,North
2026-07-28 11:41:41.097287,853,746,964,Dairy,North
2026-07-29 11:41:41.097287,853,741,955,Dairy,North
2026-07-30 11:41:41.097287,843,736,952,Dairy,North
2026-07-31 11:41:41.097287,846,734,948,Dairy,North
2026-08-01 11:41:41.097287,839,735,954,Dairy,North
2026-08-02 11:41:41.097287,834,724,945,Dairy,North
2026-08-03 11:41:41.097287,819,710,932,Dairy,North
2026-08-04 11:41:41.097287,805,704,916,Dairy,North
2026-08-05 11:41:41.097287,806,695,908,Dairy,North
2026-08-06 11:41:41.097287,798,689,907,Dairy,North
2026-08-07 11:41:41.097287,802,698,906,Dairy,North
2026-08-08 11:41:41.097287,796,687,910,Dairy,North
2026-08-09 11:41:41.097287,794,681,904,Dairy,North
2026-08-10 11:41:41.097287,781,670,883,Dairy,North
2026-08-11 11:41:41.097287,769,658,882,Dairy,North
2026-08-12 11:41:41.097287,773,659,881,Dairy,North
2026-08-13 11:41:41.097287,767,663,868,Dairy,North
2026-07-15 11:41:41.595301,905,799,1016,Dairy,South
2026-07-16 11:41:41.595301,876,762,985,Dairy,South
2026-07-17 11:41:41.595301,891,784,997,Dairy,South
2026-07-18 11:41:41.595301,883,772,993,Dairy,South
2026-07-19 11:41:41.595301,894,782,1008,Dairy,South
2026-07-20 11:41:41.595301,883,773,987,Dairy,South
2026-07-21 11:41:41.595301,878,760,992,Dairy,South
2026-07-22 11:41:41.595301,872,769,982,Dairy,South
2026-07-23 11:41:41.595301,838,728,943,Dairy,South
2026-07-24 11:41:41.595301,850,742,966,Dairy,South
2026-07-25 11:41:41.595301,839,725,939,Dairy,South
2026-07-26 11:41:41.595301,848,741,955,Dairy,South
2026-07-27 11:41:41.595301,834,715,942,Dairy,South
2026-07-28 11:41:41.595301,828,719,940,Dairy,South
2026-07-29 11:41:41.595301,821,711,939,Dairy,South
2026-07-30 11:41:41.595301,787,678,894,Dairy,South
2026-07-31 11:41:41.595301,799,680,911,Dairy,South
2026-08-01 11:41:41.595301,789,677,898,Dairy,South
2026-08-02 11:41:41.595301,799,686,913,Dairy,South
2026-08-03 11:41:41.595301,787,674,892,Dairy,South
2026-08-04 11:41:41.595301,784,669,898,Dairy,South
2026-08-05 11:41:41.595301,779,662,899,Dairy,South
2026-08-06 11:41:41.595301,748,647,866,Dairy,South
2026-08-07 11:41:41.595301,763,650,875,Dairy,South
2026-08-08 11:41:41.595301,757,649,864,Dairy,South
2026-08-09 11:41:41.595301,770,654,885,Dairy,South
2026-08-10 11:41:41.595301,761,651,874,Dairy,South
2026-08-11 11:41:41.595301,760,643,873,Dairy,South
2026-08-12 11:41:41.595301,758,649,872,Dairy,South
2026-08-13 11:41:41.595301,729,621,833,Dairy,South
2026-07-15 11:41:42.065971,945,836,1061,Dairy,West
2026-07-16 11:41:42.065971,957,836,1067,Dairy,West
2026-07-17 11:41:42.065971,931,816,1043,Dairy,West
2026-07-18 11:41:42.065971,947,833,1067,Dairy,West
2026-07-19 11:41:42.065971,942,824,1058,Dairy,West
2026-07-20 11:41:42.065971,936,814,1047,Dairy,West
